@relation depthConvexity

@attribute 1744735173572 numeric
@attribute -195.0 numeric
@attribute BUY_FAILURE {BUY_FAILURE,SELL_SUCCESS,SELL_FAILURE,BUY_SUCCESS}

@data
1744735175623,-279,BUY_FAILURE
1744735177665,2,SELL_SUCCESS
1744735179707,-19,SELL_FAILURE
1744735181741,55,SELL_SUCCESS
1744735183764,-96,BUY_SUCCESS
1744735185801,40,SELL_SUCCESS
1744735187843,87,SELL_SUCCESS
1744735189891,-75,BUY_FAILURE
1744735191930,-102,BUY_SUCCESS
1744735193961,31,SELL_SUCCESS
1744735196015,-239,BUY_FAILURE
1744735198056,-34,BUY_FAILURE
1744735200100,-64,SELL_FAILURE
1744735202139,-188,SELL_SUCCESS
1744735204170,16,SELL_FAILURE
1744735206316,-232,SELL_SUCCESS
1744735208358,-43,SELL_SUCCESS
1744735210414,-68,BUY_SUCCESS
1744735212449,16,SELL_SUCCESS
1744735214490,8,BUY_SUCCESS
1744735216522,-8,BUY_FAILURE
1744735218545,101,BUY_SUCCESS
1744735220596,91,SELL_SUCCESS
1744735222642,140,SELL_FAILURE
1744735224677,24,SELL_SUCCESS
1744735226715,216,BUY_SUCCESS
1744735228763,45,BUY_SUCCESS
1744735230962,60,BUY_FAILURE
1744735233001,-126,BUY_SUCCESS
1744735235034,190,SELL_SUCCESS
1744735239110,-12,SELL_FAILURE
1744735239112,-11,SELL_FAILURE
1744735241144,-44,SELL_SUCCESS
1744735243184,154,SELL_FAILURE
1744735245227,7,SELL_SUCCESS
1744735247267,124,SELL_SUCCESS
1744735249304,-12,SELL_FAILURE
1744735251345,-26,BUY_FAILURE
1744735253375,27,BUY_SUCCESS
1744735255404,25,SELL_FAILURE
1744735257439,-56,BUY_FAILURE
1744735259481,195,SELL_SUCCESS
1744735261513,-100,BUY_SUCCESS
1744735263640,15,BUY_FAILURE
1744735265675,94,BUY_SUCCESS
1744735267702,36,SELL_SUCCESS
1744735269743,-20,SELL_SUCCESS
1744735271780,-99,SELL_FAILURE
1744735273813,30,SELL_FAILURE
1744735275852,-61,BUY_FAILURE
1744735277890,-48,BUY_SUCCESS
1744735279934,236,SELL_FAILURE
1744735281968,185,BUY_FAILURE
1744735284003,-247,BUY_SUCCESS
1744735286046,-181,SELL_SUCCESS
1744735288084,-66,SELL_SUCCESS
1744735290119,-36,BUY_SUCCESS
1744735292156,-159,SELL_FAILURE
1744735294197,40,SELL_SUCCESS
1744735296239,195,BUY_SUCCESS
1744735298286,-32,SELL_SUCCESS
1744735300319,38,BUY_SUCCESS
1744735302352,145,BUY_SUCCESS
1744735304383,-135,BUY_FAILURE
